Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
ASUS,AMD Ryzen 7 7730U CPU,  AMD Radeon Graphics,16GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Home,3.75 lbs.,849.99
ASUS,AMD Ryzen 9 7940HS Mobile Processor,NVIDIA GeForce RTX 4060 Laptop GPU,32GB,15.6 Inches,1920 x 1080,1TB SSD,Windows 11 Home,3.97 lbs.,1399.99
ASUS,Intel Core i9-13900H,Intel Iris Xe Graphics,16GB,17.3 Inches,1920 x 1080,1TB SSD,Windows 11 Home,,999.99
ASUS,Intel Core i9 13th Gen 13900H (2.60GHz),NVIDIA GeForce RTX 4060,16GB,14.5 Inches,2880 x 1800,1TB PCIe SSD,Windows 11 Home,3.64 lbs.,1899.99
MSI,Intel Core i7 13th Gen 13700H (2.40GHz),Intel Iris Xe Graphics,32GB,14 Inches,1920 x 1200,1TB SSD,Windows 11 Pro,3.53 lbs.,1456.5
ASUS,Intel Core i9 13th Gen 13900H (2.60GHz),NVIDIA GeForce RTX 4060,32GB,14.5 Inches,2880 x 1800,1TB PCIe SSD,Windows 11 Home,3.86 lbs.,2299.99
MSI,Intel Core i7 11th Gen 1195G7 (2.90GHz),Intel Iris Xe Graphics,32GB,14 Inches,1920 x 1080,1TB SSD,Windows 10 Home,2.84 lbs.,1299.0
ASUS,Intel Core PENTIUM 8505,Intel UHD Graphics,8GB,17.3 Inches,1600 x 900,256GB SSD,Windows 11 Home,4.63 lbs.,482.99
MSI,Intel Core i5-1155G7,Intel Iris Xe Graphics,8GB,14 Inches,1920 x 1080,512GB SSD,Windows 11 Pro,3.75 lbs.,564.9
MSI,Intel Core i7-1260P (2.10GHz),NVIDIA GeForce RTX 3050,16GB,16 Inches,2560 x 1600,512GB SSD,Windows 11 Pro 64-bit,4.62 lbs.,1571.54
ASUS,Intel Core i9-13980HX,NVIDIA GeForce RTX 4070,16GB,16 Inches,2560 x 1600,1TB SSD,Windows 11 Home,4.19 lbs.,1959.99
ASUS,AMD Ryzen 5 7530U,AMD Radeon Vega 7 Graphics,8GB,16 Inches,1920 x 1200,512GB SSD,Windows 11 Home,,714.99
LG,Intel Core i5 -1340P,Intel UHD Graphics,8GB,17.0 Inches,2560 x 1600,512GB NVME Gen4 SSD,Windows 11 Pro,,1049.99
LG,AMD Ryzen 5 5625U,AMD Radeon Graphics,8GB,14.0 Inches,1920 x 1200,512 GB SSD,Windows 11 Pro,,639.99
ASUS,AMD Ryzen 7 7730U CPU,  AMD Radeon Graphics,16GB,16 Inches,1920 x 1200,1TB SSD,Windows 11 Home,4.14 lbs.,735.99
HP,Intel Core i7 12th Gen 1265U (1.80GHz),Intel Iris Xe Graphics,16GB,14.0 Inches,1920 x 1080,512GB PCIe SSD,Windows 10 Pro (available through downgrade rights from Windows 11 Pro),3.03 lbs.,749.95
Samsung,Intel Core i5 13th Gen i5-1340P (1.90GHz),Intel Iris Xe Graphics,16 GB,14 Inches,2880 x 1800,512 GB SSD,Windows 11 Pro,,1308.99
ASUS,AMD Ryzen 7 7735U CPU,  AMD Radeon 680M,32GB,15.6 Inches,2880 x 1800,1TB SSD,Windows 11 Home,3.09 lbs.,1299.99
Samsung,Intel Core i5 13th Gen i5-1340P (1.90GHz),Intel Iris Xe Graphics,16 GB,16 Inches,2880 x 1800,512 GB SSD,Windows 11 Pro,,1474.99
Samsung,Intel Core i7 13th Gen i7-1355U (1.70GHz),Intel Iris Xe Graphics,16 GB,15.6 Inches,1920 x 1080,512 GB SSD,Windows 11 Pro,,1039.99
Samsung,Intel Core i7 13th Gen i7-1360P 2.20 GHz,Intel Iris Xe Graphics,32 GB,16 Inches,2880 x 1800,1 TB SSD,Windows 11 Pro,,1529.99
